Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $386.26/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode
0x7db928169dc9fe93c18209cc72c7109fe7a1e3763751ae85a60be1766bdef376,10985548,1601762990,2020-10-03 22:09:50,0xea41e39944c7bc23f36fc6f1497604b75a629460,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,2,0,772.52,0.0039284,1.517383784,346.32,,
0xc82e6330013d7634d948ffe5e9c0aaa05d12c1d4a95b6cc4ef10bbfe3a2c023a,10985557,1601763132,2020-10-03 22:12:12,0xb5f732819572ec99cd8f0cf2545889325b33a4a7,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,0.075,0,28.9695,0.00402661,1.5553183786,346.32,,
0xfa6e409216a9f3104dcdf5c5a692fa045f9f95e927b397b09c3d5855885b3068,10985558,1601763134,2020-10-03 22:12:14,0xdcc7b4dd952bd733b0b34ef855de7ff64fd708bb,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,0.4,0,154.504,0.00402661,1.5553183786,346.32,,
0xcf9f54a94ba23d77e1c8cdd3a1dfd5afb3a580a29a56914928025429d443a4a2,10985585,1601763539,2020-10-03 22:18:59,0xc390baa7ca9740c9b1596d3f61d51132d61c66aa,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,1,0,386.26,0.0058926,2.276075676,346.32,,
0xca2576062be8c697268abef3d4cfbb9107d68747335c4efb274f1b99cd6023b6,10985601,1601763721,2020-10-03 22:22:01,0x95b78c3de524f050717338d6dc67f77f928bfed1,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,3,0,1158.78,0.00279661,1.0802185786,346.32,,
0x339095572356f69cf7aedfa643bfc71620004f0aec08f6971b1e17464bc6f315,10985603,1601763736,2020-10-03 22:22:16,0x72aded007e2559b82c14e993e4978399851fdae9,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,2,0,772.52,0.00363377,1.4035800002,346.32,,
0x96c8ed30cca022f9b5aebfd7e0483c0036ba750484f288cd2ed82c63a135fd3c,10985606,1601763804,2020-10-03 22:23:24,0x4c25893dd19ebc94686a8745680457f69bcb2914,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,4,0,1545.04,0.00402661,1.5553183786,346.32,,
0xc9df758a972f9c681f32480205d144e5a0e90122ac3285b4f0a4336c03ab44bf,10985609,1601763826,2020-10-03 22:23:46,0x08691ffadf74baa061e38750564b6115fbd97e9a,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,5,0,1931.3,0.00383019,1.4794491894,346.32,,
0x8f9f9ef48ed78315897d028e72751e7b018b35b47683fcda3b7a52e72acb76ed,10985616,1601763881,2020-10-03 22:24:41,0x8f34c7ec514c3d5b0a69fa300c882630e789a7c6,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,1,0,386.26,0.00333914,1.2897762164,346.32,,
0x658f1c488c2922d7289f73c898a8cb5148294b6076094980614efe6a2706172a,10985617,1601763883,2020-10-03 22:24:43,0x90777294a457dde6f7d297f66ccf30e1ad728997,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,1,0,386.26,0.00333914,1.2897762164,346.32,,
0xc776d397ed8a3d2b88fe83822c280be3797c1bcb1ad1a0466ae8c8fe75a282f4,10985652,1601764269,2020-10-03 22:31:09,0x4c25893dd19ebc94686a8745680457f69bcb2914,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,8,0,3090.08,0.00293303,1.1329121678,346.32,,
0x0de2857100fef749b6c90bd69a2f75f96c9ffc3678f913c2e29fc6451a2c5a31,10985661,1601764425,2020-10-03 22:33:45,0xb1945d5962a0a3d9b88679de4409ca377e4d08bd,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,2.5,0,965.65,0.00412482,1.5932529732,346.32,,
0x41293d4c7f328cb10f0fecb4a885b103021daad60cf966a50d350df9dcf52187,10985674,1601764649,2020-10-03 22:37:29,0x4c25893dd19ebc94686a8745680457f69bcb2914,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,0.25,0,96.565,0.00286482,1.1065653732,346.32,,
0xd54760e852e9f505150068258aa8b2a5c1df819b79151767da2ca3c1fca3af76,10985686,1601764800,2020-10-03 22:40:00,0xe8ddebc67a6d4e75c5bfaefd013aa6b8204ce181,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,0.1,0,38.626,0.003437350143288,1.32771086634657,346.32,,
0x8265d63fcba52388404cf6d146ece9ddf1edb64b46c84b4f5f0d61a38fad255d,10985711,1601765085,2020-10-03 22:44:45,0xe88663f5878dd0967c905ec8c7cc65d6d8e091e6,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,1,0,386.26,0.00441945,1.707056757,346.32,,
0x31d6721f010b3a292a84627be8fd6a33e3b734cf93ae9397ff59b5a9e2a226e0,10985733,1601765450,2020-10-03 22:50:50,0xba1a856f68fa76c205b03b087fd403193c7f6833,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,0.2,0,77.252,0.0039284,1.517383784,346.32,,
0x0b30ceeea7ef1dfcb6093bba6cbcb0b24bd48405762770095384cafaf6a4d858,10985743,1601765575,2020-10-03 22:52:55,0xe88663f5878dd0967c905ec8c7cc65d6d8e091e6,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,14,0,5407.64,0.00306945,1.185605757,346.32,,
0x4de7c35c5854ee81060120ec62fec01d492bfd01ca736f4bd1436e753985341c,10985763,1601765854,2020-10-03 22:57:34,0x43a3819c94e1b040f56743a4f7acf18b83ed65eb,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,0.2,0,77.252,0.00441945,1.707056757,346.32,,
0x84cc0a87ed16f815250a69cdb30d6245eac98ddef92bd2a2c2f9454d6a97f27b,10985785,1601766096,2020-10-03 23:01:36,0x6a44ab17052099bd776b736f1b117183c1540e92,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,1,0,386.26,0.01306193,5.0453010818,346.32,,
0xf24a0a8751a22536cd38b45d89532ff690f10441bb4be6969f7b7345faddbd0f,10985790,1601766197,2020-10-03 23:03:17,0x3a5248e267c73fbf6725ef8869e4e3ec76ff06b0,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,2,0,772.52,0.0058926,2.276075676,346.32,,
0xb2ee8a5fa1be4d3ebbe62041735fd0c6479251f7fc34c4c7f7fcad2626ef970c,10985791,1601766223,2020-10-03 23:03:43,0xfe9120637b5123972ad69f65fafddb476860fb81,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,1,0,386.26,0.00461587,1.7829259462,346.32,,
0xff497ad731252931f401b5ddeb91040fd7c7f073d285e721f145eca2c2dcef9e,10985808,1601766466,2020-10-03 23:07:46,0x17a31aea4c336d9d081744c725eca072fc31c794,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,0.9,0,347.634,0.00402661,1.5553183786,346.32,,
0x73968da5aabad74fc9532dda664ee5b4fa77b7b16f3a4c29534617c3bef7bf69,10985820,1601766694,2020-10-03 23:11:34,0x74895227e1b3227c75d5430a8047df5adb891846,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,1,0,386.26,0.003997147,1.54393800022,346.32,,
0x1c0da1a93b89490fd96d6664e32c6653b58b6ec0fdf425b28a54b81329acea89,10985854,1601767198,2020-10-03 23:19:58,0xe8ddebc67a6d4e75c5bfaefd013aa6b8204ce181,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,0.1,0,38.626,0.00252377,0.9748314002,346.32,,
0x87c977f3d069e4adcf6ed6dd3457082e637e01d8a601e2675ff503ba3ac7a23e,10985859,1601767290,2020-10-03 23:21:30,0xb163dd4cd9ac6ad8e144d79b1b12e76f60a68e21,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,2,0,772.52,0.00510692,1.9725989192,346.32,,
0x64ac4112c9341605b9b2008eb1cd33277ee2e499031023f0cbefbbd7bc0cf332,10985938,1601768312,2020-10-03 23:38:32,0x546bd956c48cad0d9c25d5f8524493a3530cba81,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,0.25,0,96.565,0.00432124,1.6691221624,346.32,,
0xc8967af403b1c9dc25ca3c203e6d185732e0c823bbe11f7430704721d6eea187,10985970,1601768707,2020-10-03 23:45:07,0xb6da08cd77da865e99bba2868aac74ea2cd58162,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,1,0,386.26,0.00540155,2.086402703,346.32,,
0x9efd0380f4775e3081e4c9e7a9457131b739acfbeb8a1eff2140632d3f1d219f,10986085,1601770319,2020-10-04 00:11:59,0xe5963480ace624a003cb1645c75ef468d7d533c5,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,2,0,772.52,0.0058926,2.276075676,352.67,,
0x0dadad15a239aeb3460f2303cffc4affa038c06f1235beb501099f98cba0fae9,10986137,1601770885,2020-10-04 00:21:25,0x30b8e5590376132d8e1d654088c00dcf18b180ea,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,1.8,0,695.268,0.00628544,2.4278140544,352.67,,
0x9b75866527b37ebafc80c47a80e5796d39c19702d872c4168524434ade2524f6,10986160,1601771290,2020-10-04 00:28:10,0x354b97f66b28c8200945b0f213b30b69fc21ba16,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,4.25,0,1641.605,0.00383019,1.4794491894,352.67,,
0x067bd662f8a0a75fa7cdb5eff75c2bf544c1e485a847339781678de3b83270ed,10986195,1601771829,2020-10-04 00:37:09,0xad81e01b66d69f45d557d93bc746bfc3db85bcae,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,1,0,386.26,0.0044377117709,1.71411054862801,352.67,,
0x6c39059022c32fdb24cd53acab3444762c5c89a7401fc2e3c9b1deb476e5ab5d,10986302,1601773231,2020-10-04 01:00:31,0xb96fa0d1a86cc79ef9dc5ee52d166ed9a0b32d4f,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,0.3,0,115.878,0.00383019,1.4794491894,352.67,,
0x00ee810ffd0a50f3510ded1760272e76278b3be9e5a4021d6c466499a9784d4f,10986504,1601776103,2020-10-04 01:48:23,0x6f1be1a6d0d29d9ee54645bab1d5abd8f3d30cca,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,0.4,0,154.504,0.00500871,1.9346643246,352.67,,
0x11464480d9474918bc0619a5a64294ed3ff31232bb525d2e7fde26583317bcc7,10986604,1601777501,2020-10-04 02:11:41,0x17a31aea4c336d9d081744c725eca072fc31c794,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,1.6,0,618.016,0.00354692,1.3700333192,352.67,,
0xc24474f73b474fba19f7b834e90c85daf8fd7a4a724948c9223e8793af75cc16,10986696,1601778682,2020-10-04 02:31:22,0xfa8e1cbe96a62215f4c77516032d4a011d054fde,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,3,0,1158.78,0.005500211766,2.12451179673516,352.67,,
0x035f54decf585b2f146b5adc0d3aa792cbd8b7019a88d66d36bec3517f8e44a0,10986836,1601780616,2020-10-04 03:03:36,0x6b9fca59517f111b12ed215066c6acb8b047e9f4,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,0.3,0,115.878,0.00766038,2.9588983788,352.67,,
0x488c91c370de538f5d70695caf58193f2c9a678a89fa081f0a30fa4dbcdfd92d,10986963,1601782280,2020-10-04 03:31:20,0xc05586e0d32894564409914a16a4b96018dca5cd,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,0.58,0,224.0308,0.00412482,1.5932529732,352.67,,
0xb32c5675a28037163b1250fc34a22d230e6b3bb908d2d8f572fe68b5042b43d4,10987590,1601790607,2020-10-04 05:50:07,0xc05586e0d32894564409914a16a4b96018dca5cd,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,0.649,0,250.68274,0.002476023,0.95638864398,352.67,,
0x5bb1e38837469e6e0457c2c95f564706d608e8d32a8d2c8991afe92518c6a02c,10987836,1601793822,2020-10-04 06:43:42,0x30b8e5590376132d8e1d654088c00dcf18b180ea,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,0.5,0,193.13,0.0040926,1.580807676,352.67,,
0xa604be4e70d3b1f9e3e7b0091a85ec4455a38a27385af2499d02289c4235c522,10987838,1601793850,2020-10-04 06:44:10,0x6437bd2cbf5abf390c4c99ae67a40282745dca8b,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,0.5,0,193.13,0.0078568,3.034767568,352.67,,
0xd2bcd68dd38d9c75f0b1f6ac7d97fa2a110d9901fea36324d120f74df5f2c2ed,10987856,1601794073,2020-10-04 06:47:53,0x43a3819c94e1b040f56743a4f7acf18b83ed65eb,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,0.3,0,115.878,0.00347871,1.3436865246,352.67,,
0xc8a26c856056e731432c7994bdf247da666e4b1c7fdb7d837b825f94dbe75b74,10988133,1601798081,2020-10-04 07:54:41,0xdcf72d28193a4fd165b09b3df03e802bb2de3c0e,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,0.1,0,38.626,0.00736575,2.845094595,352.67,,
0xd6d3c637c03b7a9423248aff05c29601f2d1d673e8bedab5bc34f7cd2bf63be5,10988272,1601799738,2020-10-04 08:22:18,0xac812a17297985233bccc0b18b8982b5d56ebab7,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,0.1,0,38.626,0.00343735,1.327710811,352.67,,
0x1dadb9d55ef7dc2009d06387060df52ad7d60f44be533ee1ff3e1a5344b0c634,10988410,1601801596,2020-10-04 08:53:16,0x95df382990b2ab34537a666c4668d7638a23c386,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,1,0,386.26,0.0049105,1.89672973,352.67,,
0xd660a778c6619bd770bc44eab8424955b798be521a56ee4a0aefd8c531db5a68,10988561,1601803590,2020-10-04 09:26:30,0x1e9a84e1899ef144677f128bc07c1c37ddbf36af,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,0.25,0,96.565,0.003673054,1.41875383804,352.67,,
0x2db8b47a91bbdc74b0d855dafbb9e5d928581730fc6d26c1dcbec3855fbac9b6,10988703,1601805467,2020-10-04 09:57:47,0xa2fb643c411ac2550f6843d9a9ba164b6d2db1d1,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,1,0,386.26,0.00383019,1.4794491894,352.67,,
0xb776d187fc4fb16c1f68e911ce3e768a986d173edf118092f34cc054a59a5332,10988907,1601808284,2020-10-04 10:44:44,0x19dee8b644bcbba97f994bab5be2eed6646725b8,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,0.3,0,115.878,0.01021384,3.9451978384,352.67,,
0xe7f2d4f6628af3a33e236e7147ca8bde5b57dfd49a003d7748f3a7088e16d301,10988911,1601808344,2020-10-04 10:45:44,0x406a9c4d09258db9e4b48c1b6c2b6fd2e145cf94,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,2,0,772.52,0.004969426,1.91949048676,352.67,,
0x89bfcb8f16a9a9ecc7a948d6c7e29fc4f59fb0ec29c2baf900738d20346cbd05,10988923,1601808504,2020-10-04 10:48:24,0x19dee8b644bcbba97f994bab5be2eed6646725b8,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,0.2,0,77.252,0.00354692,1.3700333192,352.67,,
0xdf6e5ef5286b744666eceaeabaea553bfa1dc8c1701b0ff49e0f2b542b31e015,10989056,1601810430,2020-10-04 11:20:30,0xe5d98398d9b6b4e1cf4d8f8c11de63a1dab3c15b,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,3,0,1158.78,0.00569618,2.2002064868,352.67,,
0x91f995efd0894a673aec508a57c8cb4e378a7e65e1ec9db27a4755229c8561a4,10989367,1601814360,2020-10-04 12:26:00,0x42c839d1bf608755850d57ba735cd348d6468453,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,1,0,386.26,0.00854427,3.3003097302,352.67,,
0xdbf5079fba250bdcf480c7a10af01dbac9d56c715d399bb044e202fdbe5b38b4,10989506,1601816429,2020-10-04 13:00:29,0x5fa31cb8bf55fa731941264f8de8b5e197218c41,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,0.5,0,193.13,0.00834785,3.224440541,352.67,,
0x9a81e1d3d8b881e7d26d00d3dba923e753444576f526a6c5a8e9ff41d35e4520,10989523,1601816621,2020-10-04 13:03:41,0x659ea479c633837c82332442130fa7d03e7e1d19,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,0.25,0,96.565,0.00805322,3.1106367572,352.67,,
0x3a05b800ae76f7adc028764f666e67fde0f35128a7d635b26f00bf5f4763b0f3,10989531,1601816687,2020-10-04 13:04:47,0xd6f4ec8d66362d969019e521d850a83814b7df88,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,4,0,1545.04,0.00805322,3.1106367572,352.67,,
0xf0df9610d6b91307d2498a6f13395c27371435d3cf2837e700943f46a8be5cd1,10989570,1601817206,2020-10-04 13:13:26,0x4b5acfeb9219e4c4fe68c9a75e47a602e249a4b9,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,0.1,0,38.626,0.00864248,3.3382443248,352.67,,
0x763a92c07f7719812e7ce1d3d2051d5f00271a5dee1413e444d7a4446dca7a16,10989578,1601817302,2020-10-04 13:15:02,0x4cda8b6f1755745ca2cb6e13ed1fadef7d17d7f1,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,1,0,386.26,0.00805322,3.1106367572,352.67,,
0xf640966abdbb11f9830ba1186bc794e084753a6eeb74218e875b9c26f174cacb,10989581,1601817340,2020-10-04 13:15:40,0x2fd0476478c01d0472b264e27f9d3c1b30dada2a,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,1,0,386.26,0.00726754,2.8071600004,352.67,,
0x52e336917dbe9fb7f36102b77e767a6b250e1c29ab9e544ef0dad7d24afb56b4,10989585,1601817367,2020-10-04 13:16:07,0xfb7cfa3d6d9af41ff7d879f6135bcf418e29f89d,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,1,0,386.26,0.00854427,3.3003097302,352.67,,
0x2591edecf4806059265f3c573bd09bdedf0007d471a0409837333a2e79d6e3e9,10989585,1601817367,2020-10-04 13:16:07,0xfb7cfa3d6d9af41ff7d879f6135bcf418e29f89d,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,1,0,386.26,0.005218065,2.0155297869,352.67,,
0x063a658a4d978bbf8755572fbb09accd553aa7a94bbaf6364cfce8bab5854912,10989619,1601817747,2020-10-04 13:22:27,0x7d07503f803f61e6d46e579e795fb06c315d5001,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,0.1,0,38.626,0.00736575,2.845094595,352.67,,
0x47aefa02c33fef1f44e4200316d5d9c2efa9a2bd718811008303521905b3bd3c,10989633,1601817886,2020-10-04 13:24:46,0x814ab4c6e7d8afee9873855141995d00a4588e2a,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,1,0,386.26,0.0068747,2.655421622,352.67,,
0x36a2627b17092cceacdec6dce6e3a30dc86b1f9e53f1ecca20c16f0da814b702,10989665,1601818220,2020-10-04 13:30:20,0xf6218817278033494a0e264d1ee4e6a266cfdb43,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,1,0,386.26,0.00325075111029,1.25563512386055,352.67,,
0x40b5a242f9bd3641f70e58b57acce11dfc84afaba6c7237ea97677118fa32fe7,10989686,1601818485,2020-10-04 13:34:45,0x5355915ae6b0e272758fc29d2a4c6db4c255f21f,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,1,0,386.26,0.002912350121403,1.12492435789327,352.67,,
0x581ff4a5628280d8c69eda300c57209f78f1b4ed8c553bc1b259d880a458479d,10989698,1601818615,2020-10-04 13:36:55,0x85d3a8aa01165121a3015563225317a60ac05b7d,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,0.25,0,96.565,0.003437350143288,1.32771086634657,352.67,,
0x46e3c7c26ac57234d8d8ada967097b240009e6e138cd2578ad4084a424895f87,10989702,1601818643,2020-10-04 13:37:23,0xfeca467459b9054d9177285c9fe5e94ca5c74b9c,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,0.02,0,7.7252,0.00314272,1.2139070272,352.67,,
0x91d44d5257064b2552f863dc4ab32b0fc5702b379a67ff6a490a35fa844f4548,10989785,1601819678,2020-10-04 13:54:38,0x9ba38c9253cdf7dcd93ed1dd315a4034d3764a85,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,1.4,0,540.764,0.00834785,3.224440541,352.67,,
0x78ad50189a03828ec0798c221428ff05cb90a15d53303a7b27717e4c00243029,10989836,1601820293,2020-10-04 14:04:53,0x12c66f5f0636d7e4d51c0c322233eb83dfcea3cc,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,1.36,0,525.3136,0.0047747,1.844275622,352.67,,
0x8558c008d45863edcc8c9682d2206c50eaac26120f1c24a66e12ea08bf826dea,10989849,1601820564,2020-10-04 14:09:24,0x6cab6ade8c3b8a813abda1efbc77c45d67e27e76,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,1,0,386.26,0.00618723,2.3898794598,352.67,,
0x32353bbf60e4dca2d710a65bfc9be5cff511ccb131a099067e3fd7028573c5f6,10989865,1601820746,2020-10-04 14:12:26,0x3343127ead850bf8db8157f7659382591a7d844d,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,1,0,386.26,0.009821,3.79345946,352.67,,
0x25a0d8c0fb96201f27fbbe2662806f70f5287642fde4d301ea4b432abc8bceea,10989872,1601820953,2020-10-04 14:15:53,0xda225e8ed36a475bcc91ddd4c536f8c78dbba1a2,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,0.2,0,77.252,0.00707112,2.7312908112,352.67,,
0x5481e42c3b9040e40897f42de28accd764ee691b0fcfb4c045c551bca0d6936a,10989876,1601821009,2020-10-04 14:16:49,0x9466ebf24b2761fba6cbfd7f93d306c017325de7,0x27f97bc09a4e28d5935a08e2810b3e3c94f04220,,0.25,0,96.565,0.00658007,2.5416178382,352.67,,
